player_code,web_name,fixture_id,position_id,gameweek,minutes,mins_score,goals_score,assists_score,xg_score,xgi_score,cs_score,bonus_score,goals_conceded_score,xgc_score,composite_score,season
223094,Haaland,7,4,1,72,1.1894736842105262,9.71875,5.5,10.0,10.0,9.15625,9.578125,7.1875,5.78125,10.030353618421053,2526
219249,O'Riley,3,3,1,87,1.2289473684210526,9.724489795918368,5.010204081632653,9.938775510204081,9.96938775510204,8.53061224489796,9.908163265306122,7.336734693877551,6.387755102040816,9.96187432867884,2526
433036,Reijnders,7,3,1,90,1.236842105263158,9.724489795918368,9.479591836734695,8.806122448979592,8.591836734693878,8.53061224489796,5.316326530612245,7.336734693877551,5.86734693877551,9.558582169709991,2526
242898,Johnson,6,3,1,79,1.2078947368421054,9.724489795918368,5.010204081632653,9.755102040816325,9.326530612244898,8.53061224489796,5.316326530612245,7.336734693877551,4.520408163265306,9.393442534908699,2526
212319,Richarlison,6,4,1,71,1.186842105263158,9.71875,5.5,8.59375,8.59375,9.15625,9.578125,7.1875,3.8125,9.298840460526316,2526
510663,Ekitiké,1,4,1,71,1.186842105263158,8.453125,10.0,9.71875,9.71875,4.65625,8.734375,3.671875,2.96875,9.177902960526316,2526
437730,Semenyo,1,3,1,90,1.236842105263158,10.0,5.010204081632653,10.0,9.96938775510204,4.030612244897959,10.0,1.0918367346938775,1.39795918367347,9.04154135338346,2526
60689,Wood,4,4,1,78,1.2052631578947368,9.71875,5.5,9.4375,9.4375,4.65625,9.578125,3.671875,2.6875,8.998338815789472,2526
460842,Kudus,6,3,1,84,1.2210526315789474,5.255102040816327,10.0,6.877551020408163,9.60204081632653,8.53061224489796,9.724489795918368,7.336734693877551,4.520408163265306,8.626697099892588,2526
243298,Gakpo,1,3,1,90,1.236842105263158,9.724489795918368,5.010204081632653,8.806122448979592,9.60204081632653,4.030612244897959,5.316326530612245,2.1938775510204085,2.255102040816327,8.577459720730397,2526
466525,Stach,10,3,1,90,1.236842105263158,5.255102040816327,9.479591836734695,9.142857142857142,9.326530612244898,8.53061224489796,5.316326530612245,7.336734693877551,6.112244897959185,8.565520945220195,2526
118748,M.Salah,1,3,1,90,1.236842105263158,9.724489795918368,5.010204081632653,9.081632653061224,8.653061224489797,4.030612244897959,9.724489795918368,2.1938775510204085,2.255102040816327,8.49327604726101,2526
174594,Nmecha,10,4,1,12,1.0315789473684212,8.453125,5.5,8.875,8.875,4.65625,4.796875,7.1875,6.484375,8.487376644736841,2526
449434,Elanga,2,3,1,77,1.2026315789473685,5.255102040816327,5.010204081632653,9.877551020408163,9.510204081632654,8.53061224489796,5.316326530612245,7.336734693877551,8.683673469387754,8.381487647690655,2526
223541,Chiesa,1,3,1,8,1.0210526315789474,9.724489795918368,5.010204081632653,8.53061224489796,7.3061224489795915,4.030612244897959,5.316326530612245,7.336734693877551,9.66326530612245,8.352309344790548,2526
232826,Gordon,2,3,1,90,1.236842105263158,5.255102040816327,5.010204081632653,9.816326530612244,9.448979591836736,8.53061224489796,5.316326530612245,7.336734693877551,8.438775510204081,8.345112781954887,2526
201666,Barnes,2,3,1,89,1.2342105263157894,5.255102040816327,5.010204081632653,8.928571428571429,9.326530612244898,8.53061224489796,5.316326530612245,7.336734693877551,8.438775510204081,8.213216970998927,2526
215379,Anderson,4,3,1,90,1.236842105263158,5.255102040816327,9.479591836734695,9.510204081632654,9.755102040816325,4.030612244897959,9.724489795918368,3.63265306122449,2.836734693877551,8.173684210526316,2526
502500,Thiago,4,4,1,90,1.236842105263158,8.453125,5.5,9.15625,9.15625,4.65625,4.796875,1.984375,2.125,8.156340460526316,2526
624773,Estêvão,8,3,1,36,1.0947368421052632,5.255102040816327,5.010204081632653,9.387755102040817,9.816326530612244,4.030612244897959,5.316326530612245,7.336734693877551,8.959183673469386,7.992636949516648,2526
222531,Gibbs-White,4,3,1,83,1.2184210526315788,5.255102040816327,9.479591836734695,9.448979591836736,9.693877551020408,4.030612244897959,5.316326530612245,3.63265306122449,2.836734693877551,7.923882921589689,2526
535818,Adingra,5,3,1,75,1.1973684210526316,5.255102040816327,9.479591836734695,8.255102040816325,7.3061224489795915,8.53061224489796,5.316326530612245,7.336734693877551,7.244897959183674,7.822287862513426,2526
456512,Ndoye,4,3,1,78,1.2052631578947368,9.724489795918368,5.010204081632653,7.704081632653062,6.6938775510204085,4.030612244897959,9.908163265306122,3.63265306122449,2.836734693877551,7.776852846401719,2526
466052,Cherki,7,3,1,17,1.0447368421052632,9.724489795918368,5.010204081632653,6.877551020408163,6.142857142857142,4.030612244897959,5.316326530612245,7.336734693877551,8.193877551020408,7.70875939849624,2526
247632,Neto,8,3,1,90,1.236842105263158,5.255102040816327,5.010204081632653,6.142857142857142,8.89795918367347,8.53061224489796,5.316326530612245,7.336734693877551,5.346938775510204,7.630316863587541,2526
547027,Diarra,5,3,1,90,1.236842105263158,5.255102040816327,5.010204081632653,8.928571428571429,7.979591836734693,8.53061224489796,5.316326530612245,7.336734693877551,5.86734693877551,7.613480128893662,2526
184029,Ødegaard,9,3,1,90,1.236842105263158,5.255102040816327,5.010204081632653,7.520408163265307,8.775510204081632,8.53061224489796,5.316326530612245,7.336734693877551,2.591836734693877,7.587459720730397,2526
204480,Rice,9,3,1,82,1.2157894736842105,5.255102040816327,9.479591836734695,8.071428571428571,7.091836734693877,8.53061224489796,5.316326530612245,7.336734693877551,4.36734693877551,7.5868850698174,2526
232413,Eze,8,3,1,83,1.2184210526315788,5.255102040816327,5.010204081632653,9.020408163265307,7.979591836734693,8.53061224489796,5.316326530612245,7.336734693877551,3.908163265306123,7.522862513426423,2526
532605,Andrey Santos,8,3,1,11,1.0289473684210526,5.255102040816327,5.010204081632653,9.23469387755102,8.46938775510204,4.030612244897959,5.316326530612245,7.336734693877551,9.020408163265307,7.502384532760473,2526
200617,James,10,3,1,77,1.2026315789473685,5.255102040816327,5.010204081632653,8.255102040816325,7.581632653061225,8.53061224489796,5.316326530612245,7.336734693877551,7.459183673469388,7.483018259935553,2526
165809,Bernardo,7,3,1,65,1.1710526315789473,5.255102040816327,5.010204081632653,3.173469387755102,9.020408163265307,8.53061224489796,5.316326530612245,7.336734693877551,7.153061224489796,7.459962406015038,2526
244851,Palmer,8,3,1,90,1.236842105263158,5.255102040816327,5.010204081632653,8.591836734693878,7.673469387755103,8.53061224489796,5.316326530612245,7.336734693877551,5.346938775510204,7.446643394199786,2526
492859,Gnonto,10,3,1,66,1.1736842105263159,5.255102040816327,5.010204081632653,8.255102040816325,7.183673469387755,8.53061224489796,5.316326530612245,7.336734693877551,8.86734693877551,7.41124597207304,2526
111317,Brooks,1,3,1,83,1.2184210526315788,5.255102040816327,9.479591836734695,8.714285714285714,8.775510204081632,4.030612244897959,5.316326530612245,2.1938775510204085,1.7959183673469385,7.405005370569281,2526
223340,Saka,9,3,1,90,1.236842105263158,5.255102040816327,5.010204081632653,8.438775510204081,7.979591836734693,8.53061224489796,5.316326530612245,7.336734693877551,2.591836734693877,7.400725026852845,2526
444180,Anthony,6,3,1,84,1.2210526315789474,5.255102040816327,5.010204081632653,9.693877551020408,9.877551020408163,4.030612244897959,5.316326530612245,1.5204081632653057,1.1530612244897962,7.376186895810957,2526
446008,Mbeumo,9,3,1,90,1.236842105263158,5.255102040816327,5.010204081632653,9.63265306122449,9.204081632653061,4.030612244897959,5.316326530612245,3.63265306122449,3.7551020408163267,7.3716433941997845,2526
564406,Mayenda,5,4,1,75,1.1973684210526316,8.453125,5.5,4.9375,4.9375,9.15625,8.734375,7.1875,6.0625,7.357861842105263,2526
482442,P.M.Sarr,6,3,1,90,1.236842105263158,5.255102040816327,9.479591836734695,3.173469387755102,7.795918367346938,8.53061224489796,5.316326530612245,7.336734693877551,4.520408163265306,7.3532760472610095,2526
430871,Cunha,9,3,1,90,1.236842105263158,5.255102040816327,5.010204081632653,9.571428571428571,9.112244897959183,4.030612244897959,5.316326530612245,3.63265306122449,3.7551020408163267,7.333378088077335,2526
235826,Piroe,10,4,1,77,1.2026315789473685,4.375,5.5,7.046875,8.03125,9.15625,4.796875,7.1875,6.484375,7.293700657894737,2526
513433,Gruda,3,3,1,7,1.018421052631579,5.255102040816327,5.010204081632653,9.23469387755102,8.46938775510204,4.030612244897959,5.316326530612245,3.63265306122449,7.795918367346938,7.2549033297529535,2526
244042,Muniz,3,4,1,24,1.063157894736842,8.453125,5.5,6.203125,5.5,4.65625,9.578125,7.1875,5.5,7.231940789473684,2526
141746,B.Fernandes,9,3,1,90,1.236842105263158,5.255102040816327,5.010204081632653,8.438775510204081,9.112244897959183,4.030612244897959,5.316326530612245,3.63265306122449,3.7551020408163267,7.220112781954887,2526
