team_id,team_name,team_short_name,team_code,badge_url,season
1,Arsenal,ARS,3,https://resources.premierleague.com/premierleague/badges/70/t3.png,2526
2,Aston Villa,AVL,7,https://resources.premierleague.com/premierleague/badges/70/t7.png,2526
3,Burnley,BUR,90,https://resources.premierleague.com/premierleague/badges/70/t90.png,2526
4,Bournemouth,BOU,91,https://resources.premierleague.com/premierleague/badges/70/t91.png,2526
5,Brentford,BRE,94,https://resources.premierleague.com/premierleague/badges/70/t94.png,2526
6,Brighton,BHA,36,https://resources.premierleague.com/premierleague/badges/70/t36.png,2526
7,Chelsea,CHE,8,https://resources.premierleague.com/premierleague/badges/70/t8.png,2526
8,Crystal Palace,CRY,31,https://resources.premierleague.com/premierleague/badges/70/t31.png,2526
9,Everton,EVE,11,https://resources.premierleague.com/premierleague/badges/70/t11.png,2526
10,Fulham,FUL,54,https://resources.premierleague.com/premierleague/badges/70/t54.png,2526
11,Leeds,LEE,2,https://resources.premierleague.com/premierleague/badges/70/t2.png,2526
12,Liverpool,LIV,14,https://resources.premierleague.com/premierleague/badges/70/t14.png,2526
13,Man City,MCI,43,https://resources.premierleague.com/premierleague/badges/70/t43.png,2526
14,Man Utd,MUN,1,https://resources.premierleague.com/premierleague/badges/70/t1.png,2526
15,Newcastle,NEW,4,https://resources.premierleague.com/premierleague/badges/70/t4.png,2526
16,Nott'm Forest,NFO,17,https://resources.premierleague.com/premierleague/badges/70/t17.png,2526
17,Sunderland,SUN,56,https://resources.premierleague.com/premierleague/badges/70/t56.png,2526
18,Spurs,TOT,6,https://resources.premierleague.com/premierleague/badges/70/t6.png,2526
19,West Ham,WHU,21,https://resources.premierleague.com/premierleague/badges/70/t21.png,2526
20,Wolves,WOL,39,https://resources.premierleague.com/premierleague/badges/70/t39.png,2526
