id,code,first_name,second_name,web_name,photo,element_type,season
112,226956,Mads,Roerslev Rasmussen,Roerslev,https://resources.premierleague.com/premierleague25/photos/players/110x140/226956.png,2,2526
113,444765,Sepp,van den Berg,Van den Berg,https://resources.premierleague.com/premierleague25/photos/players/110x140/444765.png,2,2526
114,622536,Benjamin,Arthur,Arthur,https://resources.premierleague.com/premierleague25/photos/players/110x140/622536.png,2,2526
115,612534,Benjamin,Fredrick,Fredrick,https://resources.premierleague.com/premierleague25/photos/players/110x140/612534.png,2,2526
116,472713,Aaron,Hickey,Hickey,https://resources.premierleague.com/premierleague25/photos/players/110x140/472713.png,2,2526
117,570241,Kim,Ji-soo,Ji-soo,https://resources.premierleague.com/premierleague25/photos/players/110x140/570241.png,2,2526
118,499717,Jayden,Meghoma,Meghoma,https://resources.premierleague.com/premierleague25/photos/players/110x140/499717.png,2,2526
120,513418,Kevin,Schade,Schade,https://resources.premierleague.com/premierleague25/photos/players/110x140/513418.png,3,2526
121,440089,Mikkel,Damsgaard,Damsgaard,https://resources.premierleague.com/premierleague25/photos/players/110x140/440089.png,3,2526
122,543295,Antoni,Milambo,Milambo,https://resources.premierleague.com/premierleague25/photos/players/110x140/543295.png,3,2526
123,244858,Fábio,Freitas Gouveia Carvalho,Carvalho,https://resources.premierleague.com/premierleague25/photos/players/110x140/244858.png,3,2526
124,56979,Jordan,Henderson,Henderson,https://resources.premierleague.com/premierleague25/photos/players/110x140/56979.png,3,2526
125,204580,Vitaly,Janelt,Janelt,https://resources.premierleague.com/premierleague25/photos/players/110x140/204580.png,3,2526
126,207283,Mathias,Jensen,Jensen,https://resources.premierleague.com/premierleague25/photos/players/110x140/207283.png,3,2526
127,626464,Gustavo,Nunes Fernandes Gomes,Nunes,https://resources.premierleague.com/premierleague25/photos/players/110x140/626464.png,3,2526
128,428580,Frank,Onyeka,Onyeka,https://resources.premierleague.com/premierleague25/photos/players/110x140/428580.png,3,2526
129,508395,Yehor,Yarmoliuk,Yarmoliuk,https://resources.premierleague.com/premierleague25/photos/players/110x140/508395.png,3,2526
130,606689,Romelle,Donovan,Donovan,https://resources.premierleague.com/premierleague25/photos/players/110x140/606689.png,3,2526
131,628204,Yunus Emre,Konak,Konak,https://resources.premierleague.com/premierleague25/photos/players/110x140/628204.png,3,2526
132,220695,Paris,Maghoma,Maghoma,https://resources.premierleague.com/premierleague25/photos/players/110x140/220695.png,3,2526
133,450539,Myles,Peart-Harris,Peart-Harris,https://resources.premierleague.com/premierleague25/photos/players/110x140/450539.png,3,2526
134,591357,Ryan,Trevitt,Trevitt,https://resources.premierleague.com/premierleague25/photos/players/110x140/591357.png,3,2526
136,502500,Igor Thiago,Nascimento Rodrigues,Thiago,https://resources.premierleague.com/premierleague25/photos/players/110x140/502500.png,4,2526
137,533710,Iwan,Morgan,Morgan,https://resources.premierleague.com/premierleague25/photos/players/110x140/533710.png,4,2526
748,183656,Josh,Dasilva,Dasilva,https://resources.premierleague.com/premierleague25/photos/players/110x140/183656.png,3,2526
797,593174,Kaye,Furo,Furo,https://resources.premierleague.com/premierleague25/photos/players/110x140/593174.png,4,2526
810,559610,Luka,Bentt,Bentt,https://resources.premierleague.com/premierleague25/photos/players/110x140/559610.png,3,2526
819,494556,Ollie,Shield,Shield,https://resources.premierleague.com/premierleague25/photos/players/110x140/494556.png,2,2526
823,649240,Joshua,Stephenson,Stephenson,https://resources.premierleague.com/premierleague25/photos/players/110x140/649240.png,2,2526
824,587433,Conor,McManus,McManus,https://resources.premierleague.com/premierleague25/photos/players/110x140/587433.png,2,2526
826,547671,Riley,Owen,Owen,https://resources.premierleague.com/premierleague25/photos/players/110x140/547671.png,3,2526
138,49262,Jason,Steele,Steele,https://resources.premierleague.com/premierleague25/photos/players/110x140/49262.png,1,2526
139,489639,Bart,Verbruggen,Verbruggen,https://resources.premierleague.com/premierleague25/photos/players/110x140/489639.png,1,2526
140,209288,Tom,McGill,McGill,https://resources.premierleague.com/premierleague25/photos/players/110x140/209288.png,1,2526
141,472739,Carl,Rushworth,Rushworth,https://resources.premierleague.com/premierleague25/photos/players/110x140/472739.png,1,2526
142,240514,Kjell,Scherpen,Scherpen,https://resources.premierleague.com/premierleague25/photos/players/110x140/240514.png,1,2526
143,204120,Olivier,Boscagli,Boscagli,https://resources.premierleague.com/premierleague25/photos/players/110x140/204120.png,2,2526
144,550090,Diego,Coppola,Coppola,https://resources.premierleague.com/premierleague25/photos/players/110x140/550090.png,2,2526
145,465730,Maxim,De Cuyper,De Cuyper,https://resources.premierleague.com/premierleague25/photos/players/110x140/465730.png,2,2526
146,83299,Lewis,Dunk,Dunk,https://resources.premierleague.com/premierleague25/photos/players/110x140/83299.png,2,2526
147,204214,Pervis,Estupiñán Tenorio,Estupiñan,https://resources.premierleague.com/premierleague25/photos/players/110x140/204214.png,2,2526
148,231416,Ferdi,Kadıoğlu,F.Kadıoğlu,https://resources.premierleague.com/premierleague25/photos/players/110x140/231416.png,2,2526
149,223434,Igor Julio,dos Santos de Paulo,Igor,https://resources.premierleague.com/premierleague25/photos/players/110x140/223434.png,2,2526
150,232792,Tariq,Lamptey,Lamptey,https://resources.premierleague.com/premierleague25/photos/players/110x140/232792.png,2,2526
151,469142,Jan Paul,van Hecke,Van Hecke,https://resources.premierleague.com/premierleague25/photos/players/110x140/469142.png,2,2526
152,111478,Joël,Veltman,Veltman,https://resources.premierleague.com/premierleague25/photos/players/110x140/111478.png,2,2526
153,110735,Adam,Webster,Webster,https://resources.premierleague.com/premierleague25/photos/players/110x140/110735.png,2,2526
154,439135,Eiran,Cashin,Cashin,https://resources.premierleague.com/premierleague25/photos/players/110x140/439135.png,2,2526
155,589100,Jacob,Slater,Slater,https://resources.premierleague.com/premierleague25/photos/players/110x140/589100.png,2,2526
156,547720,Charlie,Tasker,Tasker,https://resources.premierleague.com/premierleague25/photos/players/110x140/547720.png,2,2526
157,451340,Mitoma,Kaoru,Mitoma,https://resources.premierleague.com/premierleague25/photos/players/110x140/451340.png,3,2526
158,463067,Georginio,Rutter,Georginio,https://resources.premierleague.com/premierleague25/photos/players/110x140/463067.png,3,2526
159,109345,Solly,March,March,https://resources.premierleague.com/premierleague25/photos/players/110x140/109345.png,3,2526
