id,code,first_name,second_name,web_name,photo,element_type,season
1,154561,David,Raya Martín,Raya,https://resources.premierleague.com/premierleague25/photos/players/110x140/154561.png,1,2627
2,109745,Kepa,Arrizabalaga Revuelta,Arrizabalaga,https://resources.premierleague.com/premierleague25/photos/players/110x140/109745.png,1,2627
3,437495,Illan,Meslier,Meslier,https://resources.premierleague.com/premierleague25/photos/players/110x140/437495.png,1,2627
4,226597,Gabriel,dos Santos Magalhães,Gabriel,https://resources.premierleague.com/premierleague25/photos/players/110x140/226597.png,2,2627
5,445122,Jurriën,Timber,J.Timber,https://resources.premierleague.com/premierleague25/photos/players/110x140/445122.png,2,2627
6,462424,William,Saliba,Saliba,https://resources.premierleague.com/premierleague25/photos/players/110x140/462424.png,2,2627
7,499169,Myles,Lewis-Skelly,Lewis-Skelly,https://resources.premierleague.com/premierleague25/photos/players/110x140/499169.png,3,2627
8,466075,Riccardo,Calafiori,Calafiori,https://resources.premierleague.com/premierleague25/photos/players/110x140/466075.png,2,2627
9,448104,Piero,Hincapié,Hincapie,https://resources.premierleague.com/premierleague25/photos/players/110x140/448104.png,2,2627
10,198869,Benjamin,White,White,https://resources.premierleague.com/premierleague25/photos/players/110x140/198869.png,2,2627
11,500040,Cristhian,Mosquera,Mosquera,https://resources.premierleague.com/premierleague25/photos/players/110x140/500040.png,2,2627
12,223340,Bukayo,Saka,Saka,https://resources.premierleague.com/premierleague25/photos/players/110x140/223340.png,3,2627
13,204480,Declan,Rice,Rice,https://resources.premierleague.com/premierleague25/photos/players/110x140/204480.png,3,2627
14,232413,Eberechi,Eze,Eze,https://resources.premierleague.com/premierleague25/photos/players/110x140/232413.png,3,2627
15,184029,Martin,Ødegaard,Ødegaard,https://resources.premierleague.com/premierleague25/photos/players/110x140/184029.png,3,2627
16,248857,Noni,Madueke,Madueke,https://resources.premierleague.com/premierleague25/photos/players/110x140/248857.png,3,2627
17,195384,Mikel,Merino Zazón,Merino,https://resources.premierleague.com/premierleague25/photos/players/110x140/195384.png,3,2627
18,444145,Gabriel,Martinelli Silva,Martinelli,https://resources.premierleague.com/premierleague25/photos/players/110x140/444145.png,3,2627
19,481655,Martín,Zubimendi Ibáñez,Zubimendi,https://resources.premierleague.com/premierleague25/photos/players/110x140/481655.png,3,2627
20,616077,Max,Dowman,Dowman,https://resources.premierleague.com/premierleague25/photos/players/110x140/616077.png,3,2627
21,128295,Christian,Nørgaard,Nørgaard,https://resources.premierleague.com/premierleague25/photos/players/110x140/128295.png,3,2627
22,499175,Ethan,Nwaneri,Nwaneri,https://resources.premierleague.com/premierleague25/photos/players/110x140/499175.png,3,2627
23,438098,Fábio,Ferreira Vieira,Fábio Vieira,https://resources.premierleague.com/premierleague25/photos/players/110x140/438098.png,3,2627
24,200641,Reiss,Nelson,Nelson,https://resources.premierleague.com/premierleague25/photos/players/110x140/200641.png,3,2627
25,224117,Viktor,Gyökeres,Gyökeres,https://resources.premierleague.com/premierleague25/photos/players/110x140/224117.png,4,2627
26,219847,Kai,Havertz,Havertz,https://resources.premierleague.com/premierleague25/photos/players/110x140/219847.png,4,2627
27,205651,Gabriel,Fernando de Jesus,G.Jesus,https://resources.premierleague.com/premierleague25/photos/players/110x140/205651.png,4,2627
28,98980,Emiliano,Martínez Romero,Martinez,https://resources.premierleague.com/premierleague25/photos/players/110x140/98980.png,1,2627
29,72147,Marco,Bizot,M.Bizot,https://resources.premierleague.com/premierleague25/photos/players/110x140/72147.png,1,2627
30,101188,Lucas,Digne,Digne,https://resources.premierleague.com/premierleague25/photos/players/110x140/101188.png,2,2627
31,199798,Ezri,Konsa Ngoyo,Konsa,https://resources.premierleague.com/premierleague25/photos/players/110x140/199798.png,2,2627
32,199796,Matty,Cash,Cash,https://resources.premierleague.com/premierleague25/photos/players/110x140/199796.png,2,2627
33,149484,Tyrone,Mings,Mings,https://resources.premierleague.com/premierleague25/photos/players/110x140/149484.png,2,2627
34,244954,Pau,Torres,Pau,https://resources.premierleague.com/premierleague25/photos/players/110x140/244954.png,2,2627
35,515597,Lamare,Bogarde,Bogarde,https://resources.premierleague.com/premierleague25/photos/players/110x140/515597.png,3,2627
36,441302,Ian,Maatsen,Maatsen,https://resources.premierleague.com/premierleague25/photos/players/110x140/441302.png,2,2627
37,184667,Victor,Lindelöf,Lindelöf,https://resources.premierleague.com/premierleague25/photos/players/110x140/184667.png,2,2627
38,606798,Andrés,García,A.García,https://resources.premierleague.com/premierleague25/photos/players/110x140/606798.png,2,2627
39,578545,Kosta,Nedeljkovic,Nedeljkovic,https://resources.premierleague.com/premierleague25/photos/players/110x140/578545.png,2,2627
41,195546,Emiliano,Buendía Stati,Buendía,https://resources.premierleague.com/premierleague25/photos/players/110x140/195546.png,3,2627
42,485337,Evann,Guessand,Guessand,https://resources.premierleague.com/premierleague25/photos/players/110x140/485337.png,3,2627
44,215711,Leon,Bailey,Bailey,https://resources.premierleague.com/premierleague25/photos/players/110x140/215711.png,3,2627
45,122806,John,McGinn,McGinn,https://resources.premierleague.com/premierleague25/photos/players/110x140/122806.png,3,2627
46,88894,Ross,Barkley,Barkley,https://resources.premierleague.com/premierleague25/photos/players/110x140/88894.png,3,2627
47,226944,Boubacar,Kamara,Kamara,https://resources.premierleague.com/premierleague25/photos/players/110x140/226944.png,3,2627
48,449871,Amadou,Onana,Onana,https://resources.premierleague.com/premierleague25/photos/players/110x140/449871.png,3,2627
49,469247,Samuel,Iling-Junior,Iling Jr,https://resources.premierleague.com/premierleague25/photos/players/110x140/469247.png,3,2627
50,645618,Bradley,Burrowes,Burrowes,https://resources.premierleague.com/premierleague25/photos/players/110x140/645618.png,3,2627
51,577285,George,Hemmings,George Hemmings,https://resources.premierleague.com/premierleague25/photos/players/110x140/577285.png,3,2627
52,653481,Alysson Edward Franco,da Rocha dos Santos,Alysson,https://resources.premierleague.com/premierleague25/photos/players/110x140/653481.png,3,2627
53,614071,Johan,Manzambi,Manzambi,https://resources.premierleague.com/premierleague25/photos/players/110x140/614071.png,3,2627
54,448089,Joao,Gomes,Gomes,https://resources.premierleague.com/premierleague25/photos/players/110x140/448089.png,3,2627
55,178301,Ollie,Watkins,Watkins,https://resources.premierleague.com/premierleague25/photos/players/110x140/178301.png,4,2627
56,173879,Tammy,Abraham,Abraham,https://resources.premierleague.com/premierleague25/photos/players/110x140/173879.png,4,2627
57,457569,Đorđe,Petrović,Petrović,https://resources.premierleague.com/premierleague25/photos/players/110x140/457569.png,1,2627
58,40383,Fraser,Forster,Forster,https://resources.premierleague.com/premierleague25/photos/players/110x140/40383.png,1,2627
59,444172,Will,Dennis,Dennis,https://resources.premierleague.com/premierleague25/photos/players/110x140/444172.png,1,2627
60,463981,James,Hill,Hill,https://resources.premierleague.com/premierleague25/photos/players/110x140/463981.png,2,2627
61,494521,Adrien,Truffert,Truffert,https://resources.premierleague.com/premierleague25/photos/players/110x140/494521.png,2,2627
62,242882,Bafodé,Diakité,Diakité,https://resources.premierleague.com/premierleague25/photos/players/110x140/242882.png,2,2627
63,620487,Veljko,Milosavljevic,Milosavljević,https://resources.premierleague.com/premierleague25/photos/players/110x140/620487.png,2,2627
64,54469,Adam,Smith,Smith,https://resources.premierleague.com/premierleague25/photos/players/110x140/54469.png,2,2627
65,436893,Julián,Araujo Zúñiga,J.Araujo,https://resources.premierleague.com/premierleague25/photos/players/110x140/436893.png,2,2627
