player_id,player_code,gameweek,fixture_id,name,web_name,position_id,selected_by_percent,value,team_id,opponent_id,h_a,kickoff_time,team_score,opponent_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,total_points,xG,xA,xGI,xGC,DefCon,ict_index,influence,creativity,threat,in_dreamteam,status,news,corners_indirect_freekicks_order,direct_freekicks_order,penalties_order,season
1,154561,4,31,David Raya Martín,Raya,1,34.4,6.0,1,16,Home,2025-09-13T11:30:00Z,3,0,90,0,0,1,0,0,0,0,24,6,0.0,0.0,0.0,0.2,0,1.3,12.8,0.0,0.0,False,a,,,,,2526
2,109745,4,31,Kepa Arrizabalaga Revuelta,Arrizabalaga,1,0.4,4.1,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
3,463748,4,31,Karl Hein,Hein,1,0.2,4.0,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,Has joined Werder Bremen on loan for the rest of the season.,,,,2526
4,551221,4,31,Tommy Setford,Setford,1,0.2,3.9,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
5,226597,4,31,Gabriel dos Santos Magalhães,Gabriel,2,42.7,7.1,1,16,Home,2025-09-13T11:30:00Z,3,0,90,0,0,1,0,0,0,1,32,9,0.2,0.01,0.21,0.2,10,3.8,28.0,1.3,9.0,False,a,,,,,2526
6,462424,4,31,William Saliba,Saliba,2,13.7,6.1,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
7,466075,4,31,Riccardo Calafiori,Calafiori,2,6.3,5.6,1,16,Home,2025-09-13T11:30:00Z,3,0,67,0,0,1,0,1,0,0,16,5,0.0,0.01,0.01,0.1,3,2.0,5.4,12.6,2.0,False,a,,,,,2526
8,445122,4,31,Jurriën Timber,J.Timber,2,28.7,6.4,1,16,Home,2025-09-13T11:30:00Z,3,0,90,0,0,1,0,0,0,2,37,8,0.3,0.02,0.32,0.2,6,6.8,19.8,13.0,35.0,False,a,,,,,2526
9,440854,4,31,Jakub Kiwior,Kiwior,2,0.0,5.4,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Porto on loan for the rest of the season.,,,,2526
10,499169,4,31,Myles Lewis-Skelly,Lewis-Skelly,2,1.4,5.1,1,16,Home,2025-09-13T11:30:00Z,3,0,22,0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.1,0,0.1,0.0,2.0,0.0,False,a,,,,,2526
11,198869,4,31,Benjamin White,White,2,0.5,5.1,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,d,Knock - 75% chance of playing,,,,2526
12,206325,4,31,Oleksandr Zinchenko,Zinchenko,2,0.2,4.9,16,1,Away,2025-09-13T11:30:00Z,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Ajax permanently.,,,,2526
13,563324,4,31,Brayden Clarke,Clarke,2,0.4,3.8,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
14,588793,4,31,Maldini Kacurri,Kacurri,2,0.1,3.9,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Morecambe on loan for the rest of the season.,,,,2526
15,499167,4,31,Josh Nichols,Nichols,2,0.2,3.7,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
16,223340,4,31,Bukayo Saka,Saka,3,7.6,9.8,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,d,Knock - 75% chance of playing,2.0,2.0,1.0,2526
17,184029,4,31,Martin Ødegaard,Ødegaard,3,1.6,7.8,1,16,Home,2025-09-13T11:30:00Z,3,0,17,0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0.5,0.0,5.2,0.0,False,a,,4.0,,3.0,2526
18,248857,4,31,Noni Madueke,Madueke,3,1.3,6.8,1,16,Home,2025-09-13T11:30:00Z,3,0,78,0,0,1,0,0,0,0,24,3,0.0,0.71,0.71,0.1,7,11.9,22.6,70.8,26.0,False,a,,3.0,,,2526
19,444145,4,31,Gabriel Martinelli Silva,Martinelli,3,1.0,6.8,1,16,Home,2025-09-13T11:30:00Z,3,0,12,0,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.1,1,0.6,2.0,4.3,0.0,False,a,,,,,2526
20,116216,4,31,Leandro Trossard,Trossard,3,1.1,6.7,1,16,Home,2025-09-13T11:30:00Z,3,0,11,0,1,0,0,0,0,0,12,4,0.0,0.26,0.26,0.1,0,3.2,17.2,10.5,4.0,False,a,,,,4.0,2526
21,204480,4,31,Declan Rice,Rice,3,33.8,7.6,1,16,Home,2025-09-13T11:30:00Z,3,0,22,0,0,0,0,0,0,0,1,1,0.0,0.03,0.03,0.1,3,0.7,3.4,1.3,2.0,False,a,,1.0,1.0,,2526
22,195384,4,31,Mikel Merino Zazón,Merino,3,0.9,5.4,1,16,Home,2025-09-13T11:30:00Z,3,0,90,0,0,1,0,0,0,0,15,3,0.13,0.07,0.2,0.2,10,6.7,13.2,20.3,33.0,False,i,Foot injury - Unknown return date,,,,2526
23,438098,4,31,Fábio Ferreira Vieira,Fábio Vieira,3,0.0,5.4,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Hamburger on loan for the rest of the season.,,,,2526
24,128295,4,31,Christian Nørgaard,Nørgaard,3,0.1,5.1,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
