player_id,player_code,gameweek,fixture_id,name,web_name,position_id,selected_by_percent,value,team_id,opponent_id,h_a,kickoff_time,team_score,opponent_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,total_points,xG,xA,xGI,xGC,DefCon,ict_index,influence,creativity,threat,in_dreamteam,status,news,corners_indirect_freekicks_order,direct_freekicks_order,penalties_order,season
1,154561,36,360,David Raya Martín,Raya,1,36.3,6.1,1,19,Away,2026-05-10T15:30:00Z,1,0,90,0,0,1,0,0,0,2,29,9,0.0,0.0,0.0,1.15,0,2.3,23.2,0.0,0.0,False,a,,,,,2526
2,109745,36,360,Kepa Arrizabalaga Revuelta,Arrizabalaga,1,0.4,4.0,1,19,Away,2026-05-10T15:30:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
3,463748,36,360,Karl Hein,Hein,1,0.2,4.0,1,19,Away,2026-05-10T15:30:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,Has joined Werder Bremen on loan for the rest of the season.,,,,2526
4,551221,36,360,Tommy Setford,Setford,1,0.2,3.9,1,19,Away,2026-05-10T15:30:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
5,226597,36,360,Gabriel dos Santos Magalhães,Gabriel,2,46.1,7.3,1,19,Away,2026-05-10T15:30:00Z,1,0,90,0,0,1,0,0,0,3,32,11,0.3,0.01,0.31,1.15,12,4.8,30.6,1.2,16.0,False,a,,,,,2526
6,462424,36,360,William Saliba,Saliba,2,17.1,6.2,1,19,Away,2026-05-10T15:30:00Z,1,0,90,0,0,1,0,1,0,0,26,5,0.0,0.16,0.16,1.15,8,3.3,22.2,3.2,8.0,False,a,,,,,2526
7,466075,36,360,Riccardo Calafiori,Calafiori,2,5.9,5.6,1,19,Away,2026-05-10T15:30:00Z,1,0,45,0,0,0,0,0,0,0,-1,1,0.21,0.02,0.23,0.15,0,1.7,0.4,1.4,15.0,False,d,Knock - 75% chance of playing,,,,2526
8,445122,36,360,Jurriën Timber,J.Timber,2,15.6,6.0,1,19,Away,2026-05-10T15:30:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,i,Ankle injury - Unknown return date,,,,2526
9,440854,36,360,Jakub Kiwior,Kiwior,2,0.0,5.4,1,19,Away,2026-05-10T15:30:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Porto on loan for the rest of the season.,,,,2526
10,499169,36,360,Myles Lewis-Skelly,Lewis-Skelly,2,1.9,5.0,1,19,Away,2026-05-10T15:30:00Z,1,0,90,0,0,1,0,0,0,0,23,6,0.0,0.02,0.02,1.15,1,1.4,6.4,5.1,2.0,False,a,,,,,2526
