player_id,player_code,gameweek,fixture_id,name,web_name,position_id,selected_by_percent,value,team_id,opponent_id,h_a,kickoff_time,team_score,opponent_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,total_points,xG,xA,xGI,xGC,DefCon,ict_index,influence,creativity,threat,in_dreamteam,status,news,corners_indirect_freekicks_order,direct_freekicks_order,penalties_order,season
1,154561,29,283,David Raya Martín,Raya,1,34.4,6.0,1,6,Away,2026-03-04T19:30:00Z,1,0,90,0,0,1,0,0,0,1,25,7,0.0,0.0,0.0,0.82,0,1.4,14.0,0.0,0.0,False,a,,,,,2526
2,109745,29,283,Kepa Arrizabalaga Revuelta,Arrizabalaga,1,0.4,4.1,1,6,Away,2026-03-04T19:30:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
3,463748,29,283,Karl Hein,Hein,1,0.2,4.0,1,6,Away,2026-03-04T19:30:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,Has joined Werder Bremen on loan for the rest of the season.,,,,2526
4,551221,29,283,Tommy Setford,Setford,1,0.2,3.9,1,6,Away,2026-03-04T19:30:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
5,226597,29,283,Gabriel dos Santos Magalhães,Gabriel,2,43.4,7.2,1,6,Away,2026-03-04T19:30:00Z,1,0,90,0,0,1,0,0,0,3,40,11,0.0,0.0,0.0,0.82,17,4.0,37.6,0.3,2.0,True,a,,,,,2526
6,462424,29,283,William Saliba,Saliba,2,13.5,6.1,1,6,Away,2026-03-04T19:30:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
7,466075,29,283,Riccardo Calafiori,Calafiori,2,6.0,5.6,1,6,Away,2026-03-04T19:30:00Z,1,0,26,0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.18,2,0.6,4.6,0.9,0.0,False,a,,,,,2526
8,445122,29,283,Jurriën Timber,J.Timber,2,28.3,6.3,1,6,Away,2026-03-04T19:30:00Z,1,0,90,0,1,1,0,0,0,2,33,13,0.0,0.07,0.07,0.82,14,5.9,36.4,20.8,2.0,True,a,,,,,2526
9,440854,29,283,Jakub Kiwior,Kiwior,2,0.0,5.4,1,6,Away,2026-03-04T19:30:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Porto on loan for the rest of the season.,,,,2526
10,499169,29,283,Myles Lewis-Skelly,Lewis-Skelly,2,1.4,5.1,1,6,Away,2026-03-04T19:30:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
