player_id,player_code,gameweek,fixture_id,name,web_name,position_id,selected_by_percent,value,team_id,opponent_id,h_a,kickoff_time,team_score,opponent_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,total_points,xG,xA,xGI,xGC,DefCon,ict_index,influence,creativity,threat,in_dreamteam,status,news,corners_indirect_freekicks_order,direct_freekicks_order,penalties_order,season
1,154561,37,361,David Raya Martín,Raya,1,36.4,6.2,1,3,Home,2026-05-18T19:00:00Z,1,0,90,0,0,1,0,0,0,0,20,6,0.0,0.01,0.01,0.19,0,0.2,2.2,0.0,0.0,False,a,,,,,2526
2,109745,37,361,Kepa Arrizabalaga Revuelta,Arrizabalaga,1,0.4,4.0,1,3,Home,2026-05-18T19:00:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
3,463748,37,361,Karl Hein,Hein,1,0.2,4.0,1,3,Home,2026-05-18T19:00:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,Has joined Werder Bremen on loan for the rest of the season.,,,,2526
4,551221,37,361,Tommy Setford,Setford,1,0.2,3.9,1,3,Home,2026-05-18T19:00:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
5,226597,37,361,Gabriel dos Santos Magalhães,Gabriel,2,46.1,7.3,1,3,Home,2026-05-18T19:00:00Z,1,0,90,0,0,1,0,0,0,0,22,6,0.0,0.04,0.04,0.19,4,1.1,6.8,1.1,3.0,False,a,,,,,2526
6,462424,37,361,William Saliba,Saliba,2,17.2,6.3,1,3,Home,2026-05-18T19:00:00Z,1,0,90,0,0,1,0,0,0,2,27,8,0.0,0.01,0.01,0.19,7,2.1,19.6,1.8,0.0,False,a,,,,,2526
7,466075,37,361,Riccardo Calafiori,Calafiori,2,5.9,5.6,1,3,Home,2026-05-18T19:00:00Z,1,0,71,0,0,1,0,0,0,2,27,8,0.0,0.13,0.13,0.19,1,5.1,11.8,33.3,6.0,False,a,,,,,2526
8,445122,37,361,Jurriën Timber,J.Timber,2,15.4,6.0,1,3,Home,2026-05-18T19:00:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,i,Ankle injury - Unknown return date,,,,2526
9,440854,37,361,Jakub Kiwior,Kiwior,2,0.0,5.4,1,3,Home,2026-05-18T19:00:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Porto on loan for the rest of the season.,,,,2526
10,499169,37,361,Myles Lewis-Skelly,Lewis-Skelly,2,1.9,5.0,1,3,Home,2026-05-18T19:00:00Z,1,0,17,0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,False,a,,,,,2526
