player_id,player_code,gameweek,fixture_id,name,web_name,position_id,selected_by_percent,value,team_id,opponent_id,h_a,kickoff_time,team_score,opponent_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,total_points,xG,xA,xGI,xGC,DefCon,ict_index,influence,creativity,threat,in_dreamteam,status,news,corners_indirect_freekicks_order,direct_freekicks_order,penalties_order,season
1,154561,33,327,David Raya Martín,Raya,1,36.1,6.0,1,13,Away,2026-04-19T15:30:00Z,1,2,90,0,0,0,2,0,0,0,8,1,0.0,0.0,0.0,1.36,0,2.1,21.0,0.0,0.0,False,a,,,,,2526
2,109745,33,327,Kepa Arrizabalaga Revuelta,Arrizabalaga,1,0.4,4.0,1,13,Away,2026-04-19T15:30:00Z,1,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
3,463748,33,327,Karl Hein,Hein,1,0.2,4.0,1,13,Away,2026-04-19T15:30:00Z,1,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,Has joined Werder Bremen on loan for the rest of the season.,,,,2526
4,551221,33,327,Tommy Setford,Setford,1,0.2,3.9,1,13,Away,2026-04-19T15:30:00Z,1,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
5,226597,33,327,Gabriel dos Santos Magalhães,Gabriel,2,44.7,7.1,1,13,Away,2026-04-19T15:30:00Z,1,2,90,0,0,0,2,1,0,0,2,0,0.02,0.01,0.03,1.36,7,2.8,22.6,0.2,5.0,False,a,,,,,2526
6,462424,33,327,William Saliba,Saliba,2,14.6,6.1,1,13,Away,2026-04-19T15:30:00Z,1,2,90,0,0,0,2,0,0,0,13,3,0.0,0.02,0.02,1.36,10,2.6,23.8,2.5,0.0,False,a,,,,,2526
7,466075,33,327,Riccardo Calafiori,Calafiori,2,5.9,5.6,1,13,Away,2026-04-19T15:30:00Z,1,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,d,Knock - 75% chance of playing,,,,2526
8,445122,33,327,Jurriën Timber,J.Timber,2,20.1,6.1,1,13,Away,2026-04-19T15:30:00Z,1,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,i,Ankle injury - Unknown return date,,,,2526
9,440854,33,327,Jakub Kiwior,Kiwior,2,0.0,5.4,1,13,Away,2026-04-19T15:30:00Z,1,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Porto on loan for the rest of the season.,,,,2526
10,499169,33,327,Myles Lewis-Skelly,Lewis-Skelly,2,1.4,5.0,1,13,Away,2026-04-19T15:30:00Z,1,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
