player_id,player_code,gameweek,fixture_id,name,web_name,position_id,selected_by_percent,value,team_id,opponent_id,h_a,kickoff_time,team_score,opponent_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,total_points,xG,xA,xGI,xGC,DefCon,ict_index,influence,creativity,threat,in_dreamteam,status,news,corners_indirect_freekicks_order,direct_freekicks_order,penalties_order,season
1,154561,38,373,David Raya Martín,Raya,1,36.4,6.2,1,8,Away,2026-05-24T15:00:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
2,109745,38,373,Kepa Arrizabalaga Revuelta,Arrizabalaga,1,0.4,4.0,1,8,Away,2026-05-24T15:00:00Z,2,1,90,0,0,0,1,0,0,0,11,2,0.0,0.0,0.0,0.98,0,2.0,19.8,0.0,0.0,False,a,,,,,2526
3,463748,38,373,Karl Hein,Hein,1,0.2,4.0,1,8,Away,2026-05-24T15:00:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,Has joined Werder Bremen on loan for the rest of the season.,,,,2526
4,551221,38,373,Tommy Setford,Setford,1,0.2,3.9,1,8,Away,2026-05-24T15:00:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
5,226597,38,373,Gabriel dos Santos Magalhães,Gabriel,2,45.4,7.3,1,8,Away,2026-05-24T15:00:00Z,2,1,45,0,0,0,1,0,0,0,7,1,0.0,0.0,0.0,0.93,5,1.1,10.4,0.4,0.0,False,a,,,,,2526
6,462424,38,373,William Saliba,Saliba,2,17.1,6.3,1,8,Away,2026-05-24T15:00:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
7,466075,38,373,Riccardo Calafiori,Calafiori,2,6.0,5.6,1,8,Away,2026-05-24T15:00:00Z,2,1,45,0,0,0,0,0,0,0,4,1,0.0,0.1,0.1,0.05,0,1.2,1.2,7.1,4.0,False,a,,,,,2526
8,445122,38,373,Jurriën Timber,J.Timber,2,15.2,6.0,1,8,Away,2026-05-24T15:00:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,d,Lack of match fitness - 25% chance of playing,,,,2526
9,440854,38,373,Jakub Kiwior,Kiwior,2,0.0,5.4,1,8,Away,2026-05-24T15:00:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Porto on loan for the rest of the season.,,,,2526
10,499169,38,373,Myles Lewis-Skelly,Lewis-Skelly,2,1.9,5.0,1,8,Away,2026-05-24T15:00:00Z,2,1,90,0,0,0,1,0,0,0,12,2,0.0,0.02,0.02,0.98,1,1.0,4.6,5.3,0.0,False,a,,,,,2526
11,198869,38,373,Benjamin White,White,2,0.5,5.1,1,8,Away,2026-05-24T15:00:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,i,Knee injury - Expected back 24 May,,,,2526
12,206325,38,377,Oleksandr Zinchenko,Zinchenko,2,0.2,4.9,16,4,Home,2026-05-24T15:00:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Ajax permanently.,,,,2526
13,563324,38,373,Brayden Clarke,Clarke,2,0.5,3.7,1,8,Away,2026-05-24T15:00:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
14,588793,38,373,Maldini Kacurri,Kacurri,2,0.1,3.9,1,8,Away,2026-05-24T15:00:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Morecambe on loan for the rest of the season.,,,,2526
15,499167,38,373,Josh Nichols,Nichols,2,0.2,3.7,1,8,Away,2026-05-24T15:00:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
16,223340,38,373,Bukayo Saka,Saka,3,11.6,10.0,1,8,Away,2026-05-24T15:00:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,2.0,2.0,1.0,2526
17,184029,38,373,Martin Ødegaard,Ødegaard,3,1.7,7.8,1,8,Away,2026-05-24T15:00:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,4.0,,3.0,2526
18,248857,38,373,Noni Madueke,Madueke,3,0.8,6.8,1,8,Away,2026-05-24T15:00:00Z,2,1,83,1,0,1,0,0,0,3,46,11,0.17,0.3,0.47,0.23,4,15.4,47.8,45.3,61.0,True,a,,3.0,,,2526
19,444145,38,373,Gabriel Martinelli Silva,Martinelli,3,0.9,6.8,1,8,Away,2026-05-24T15:00:00Z,2,1,90,0,1,0,1,0,0,2,28,7,0.13,0.24,0.37,0.98,4,8.9,29.0,31.4,29.0,False,a,,,,,2526
20,116216,38,373,Leandro Trossard,Trossard,3,1.8,6.6,1,8,Away,2026-05-24T15:00:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,4.0,2526
21,204480,38,373,Declan Rice,Rice,3,23.3,7.2,1,8,Away,2026-05-24T15:00:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,1.0,1.0,,2526
22,195384,38,373,Mikel Merino Zazón,Merino,3,0.7,5.3,1,8,Away,2026-05-24T15:00:00Z,2,1,28,0,0,0,1,0,0,0,-2,1,0.37,0.0,0.37,0.77,2,1.0,0.0,4.8,7.0,False,a,,,,,2526
23,438098,38,373,Fábio Ferreira Vieira,Fábio Vieira,3,0.0,5.4,1,8,Away,2026-05-24T15:00:00Z,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Hamburger on loan for the rest of the season.,,,,2526
