player_id,player_code,gameweek,fixture_id,name,web_name,position_id,selected_by_percent,value,team_id,opponent_id,h_a,kickoff_time,team_score,opponent_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,total_points,xG,xA,xGI,xGC,DefCon,ict_index,influence,creativity,threat,in_dreamteam,status,news,corners_indirect_freekicks_order,direct_freekicks_order,penalties_order,season
1,154561,21,201,David Raya Martín,Raya,1,34.4,6.0,1,12,Home,2026-01-08T20:00:00Z,0,0,90,0,0,1,0,0,0,0,19,6,0.0,0.0,0.0,0.36,0,0.4,4.4,0.0,0.0,False,a,,,,,2526
2,109745,21,201,Kepa Arrizabalaga Revuelta,Arrizabalaga,1,0.4,4.1,1,12,Home,2026-01-08T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
3,463748,21,201,Karl Hein,Hein,1,0.2,4.0,1,12,Home,2026-01-08T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,Has joined Werder Bremen on loan for the rest of the season.,,,,2526
4,551221,21,201,Tommy Setford,Setford,1,0.2,3.9,1,12,Home,2026-01-08T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
5,226597,21,201,Gabriel dos Santos Magalhães,Gabriel,2,42.7,7.1,1,12,Home,2026-01-08T20:00:00Z,0,0,90,0,0,1,0,0,0,0,25,6,0.14,0.05,0.19,0.36,6,4.1,21.8,7.3,12.0,False,a,,,,,2526
6,462424,21,201,William Saliba,Saliba,2,13.7,6.1,1,12,Home,2026-01-08T20:00:00Z,0,0,90,0,0,1,0,0,0,1,28,7,0.0,0.15,0.15,0.36,5,3.3,13.8,19.3,0.0,False,a,,,,,2526
7,466075,21,201,Riccardo Calafiori,Calafiori,2,6.3,5.6,1,12,Home,2026-01-08T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
8,445122,21,201,Jurriën Timber,J.Timber,2,28.7,6.4,1,12,Home,2026-01-08T20:00:00Z,0,0,90,0,0,1,0,0,0,0,24,6,0.0,0.02,0.02,0.36,5,2.3,11.0,3.7,8.0,False,a,,,,,2526
9,440854,21,201,Jakub Kiwior,Kiwior,2,0.0,5.4,1,12,Home,2026-01-08T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Porto on loan for the rest of the season.,,,,2526
10,499169,21,201,Myles Lewis-Skelly,Lewis-Skelly,2,1.4,5.1,1,12,Home,2026-01-08T20:00:00Z,0,0,33,0,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.22,1,1.4,4.2,10.1,0.0,False,a,,,,,2526
