player_id,player_code,gameweek,fixture_id,name,web_name,position_id,selected_by_percent,value,team_id,opponent_id,h_a,kickoff_time,team_score,opponent_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,total_points,xG,xA,xGI,xGC,DefCon,ict_index,influence,creativity,threat,in_dreamteam,status,news,corners_indirect_freekicks_order,direct_freekicks_order,penalties_order,season
1,154561,34,331.0,David Raya Martín,Raya,1,34.2,6.0,1,15.0,Home,2026-04-25T16:30:00Z,1.0,0.0,90,0,0,1,0,0,0,3,31,10,0.0,0.0,0.0,1.0,0,2.3,23.2,0.0,0.0,True,a,,,,,2526
2,109745,34,331.0,Kepa Arrizabalaga Revuelta,Arrizabalaga,1,0.4,4.0,1,15.0,Home,2026-04-25T16:30:00Z,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
3,463748,34,331.0,Karl Hein,Hein,1,0.2,4.0,1,15.0,Home,2026-04-25T16:30:00Z,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,Has joined Werder Bremen on loan for the rest of the season.,,,,2526
4,551221,34,331.0,Tommy Setford,Setford,1,0.2,3.9,1,15.0,Home,2026-04-25T16:30:00Z,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
5,226597,34,331.0,Gabriel dos Santos Magalhães,Gabriel,2,43.5,7.2,1,15.0,Home,2026-04-25T16:30:00Z,1.0,0.0,90,0,0,1,0,0,0,2,29,8,0.0,0.01,0.01,1.0,9,4.4,27.2,14.5,2.0,False,a,,,,,2526
6,462424,34,331.0,William Saliba,Saliba,2,14.5,6.1,1,15.0,Home,2026-04-25T16:30:00Z,1.0,0.0,90,0,0,1,0,0,0,1,28,7,0.0,0.01,0.01,1.0,6,1.7,14.6,1.9,0.0,False,a,,,,,2526
7,466075,34,331.0,Riccardo Calafiori,Calafiori,2,5.9,5.6,1,15.0,Home,2026-04-25T16:30:00Z,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,d,Knock - 75% chance of playing,,,,2526
8,445122,34,331.0,Jurriën Timber,J.Timber,2,18.9,6.1,1,15.0,Home,2026-04-25T16:30:00Z,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,i,Ankle injury - Unknown return date,,,,2526
9,440854,34,331.0,Jakub Kiwior,Kiwior,2,0.0,5.4,1,15.0,Home,2026-04-25T16:30:00Z,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Porto on loan for the rest of the season.,,,,2526
10,499169,34,331.0,Myles Lewis-Skelly,Lewis-Skelly,2,1.4,5.0,1,15.0,Home,2026-04-25T16:30:00Z,1.0,0.0,9,0,0,0,0,0,0,0,3,1,0.0,0.01,0.01,0.06,1,0.6,5.4,0.6,0.0,False,a,,,,,2526
11,198869,34,331.0,Benjamin White,White,2,0.5,5.1,1,15.0,Home,2026-04-25T16:30:00Z,1.0,0.0,90,0,0,1,0,0,0,0,23,6,0.0,0.03,0.03,1.0,3,1.7,9.4,7.4,0.0,False,a,,,,,2526
