player_id,player_code,gameweek,fixture_id,name,web_name,position_id,selected_by_percent,value,team_id,opponent_id,h_a,kickoff_time,team_score,opponent_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,total_points,xG,xA,xGI,xGC,DefCon,ict_index,influence,creativity,threat,in_dreamteam,status,news,corners_indirect_freekicks_order,direct_freekicks_order,penalties_order,season
1,154561,2,11,David Raya Martín,Raya,1,34.4,6.0,1,11,Home,2025-08-23T16:30:00Z,5,0,90,0,0,1,0,0,0,0,28,6,0.0,0.0,0.0,0.17,0,1.3,13.4,0.0,0.0,False,a,,,,,2526
2,109745,2,11,Kepa Arrizabalaga Revuelta,Arrizabalaga,1,0.4,4.1,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
3,463748,2,11,Karl Hein,Hein,1,0.2,4.0,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,Has joined Werder Bremen on loan for the rest of the season.,,,,2526
4,551221,2,11,Tommy Setford,Setford,1,0.2,3.9,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
5,226597,2,11,Gabriel dos Santos Magalhães,Gabriel,2,42.7,7.1,1,11,Home,2025-08-23T16:30:00Z,5,0,90,0,0,1,0,0,0,0,26,6,0.04,0.01,0.05,0.17,3,2.3,13.4,3.3,6.0,False,a,,,,,2526
6,462424,2,11,William Saliba,Saliba,2,13.7,6.1,1,11,Home,2025-08-23T16:30:00Z,5,0,90,0,0,1,0,0,0,0,27,6,0.0,0.01,0.01,0.17,5,2.3,18.4,2.1,2.0,False,a,,,,,2526
7,466075,2,11,Riccardo Calafiori,Calafiori,2,6.3,5.6,1,11,Home,2025-08-23T16:30:00Z,5,0,63,0,2,1,0,0,0,1,38,13,0.39,0.01,0.4,0.17,1,8.1,38.0,21.4,22.0,True,a,,,,,2526
8,445122,2,11,Jurriën Timber,J.Timber,2,28.7,6.4,1,11,Home,2025-08-23T16:30:00Z,5,0,63,2,1,1,0,0,0,3,68,24,0.81,0.05,0.86,0.17,6,19.9,95.0,28.5,75.0,True,a,,,,,2526
9,440854,2,11,Jakub Kiwior,Kiwior,2,0.0,5.4,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Porto on loan for the rest of the season.,,,,2526
10,499169,2,11,Myles Lewis-Skelly,Lewis-Skelly,2,1.4,5.1,1,11,Home,2025-08-23T16:30:00Z,5,0,26,0,0,0,0,0,0,0,7,1,0.0,0.0,0.0,0.0,1,0.8,4.2,3.7,0.0,False,a,,,,,2526
11,198869,2,11,Benjamin White,White,2,0.5,5.1,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,d,Knock - 75% chance of playing,,,,2526
12,206325,2,11,Oleksandr Zinchenko,Zinchenko,2,0.2,4.9,16,1,Away,2025-08-23T16:30:00Z,0,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Ajax permanently.,,,,2526
13,563324,2,11,Brayden Clarke,Clarke,2,0.4,3.8,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
14,588793,2,11,Maldini Kacurri,Kacurri,2,0.1,3.9,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Morecambe on loan for the rest of the season.,,,,2526
15,499167,2,11,Josh Nichols,Nichols,2,0.2,3.7,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
16,223340,2,11,Bukayo Saka,Saka,3,7.6,9.8,1,11,Home,2025-08-23T16:30:00Z,5,0,52,1,0,0,0,0,0,0,27,6,0.11,0.03,0.14,0.17,4,9.2,40.4,30.4,21.0,False,d,Knock - 75% chance of playing,2.0,2.0,1.0,2526
17,184029,2,11,Martin Ødegaard,Ødegaard,3,1.6,7.8,1,11,Home,2025-08-23T16:30:00Z,5,0,37,0,0,0,0,0,0,0,5,1,0.05,0.05,0.1,0.17,2,0.9,1.6,4.4,3.0,False,a,,4.0,,3.0,2526
18,248857,2,11,Noni Madueke,Madueke,3,1.3,6.8,1,11,Home,2025-08-23T16:30:00Z,5,0,63,0,0,1,0,0,0,0,10,3,0.0,0.09,0.09,0.17,3,4.3,5.6,26.9,10.0,False,a,,3.0,,,2526
19,444145,2,11,Gabriel Martinelli Silva,Martinelli,3,1.0,6.8,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
20,116216,2,11,Leandro Trossard,Trossard,3,1.1,6.7,1,11,Home,2025-08-23T16:30:00Z,5,0,37,0,0,0,0,0,0,0,4,1,0.07,0.03,0.1,0.0,0,3.1,5.4,21.5,4.0,False,a,,,,4.0,2526
21,204480,2,11,Declan Rice,Rice,3,33.8,7.6,1,11,Home,2025-08-23T16:30:00Z,5,0,90,0,1,1,0,0,0,0,26,6,0.0,0.54,0.54,0.17,3,7.7,25.2,50.0,2.0,False,a,,1.0,1.0,,2526
22,195384,2,11,Mikel Merino Zazón,Merino,3,0.9,5.4,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,i,Foot injury - Unknown return date,,,,2526
23,438098,2,11,Fábio Ferreira Vieira,Fábio Vieira,3,0.0,5.4,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Hamburger on loan for the rest of the season.,,,,2526
24,128295,2,11,Christian Nørgaard,Nørgaard,3,0.1,5.1,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
25,499175,2,11,Ethan Nwaneri,Nwaneri,3,0.1,5.0,1,11,Home,2025-08-23T16:30:00Z,5,0,52,0,0,0,0,0,0,0,3,1,0.02,0.01,0.03,0.0,4,1.2,5.6,1.8,5.0,False,u,has joined Marseille on loan for the rest of the season.,,,,2526
26,481655,2,11,Martín Zubimendi Ibáñez,Zubimendi,3,5.3,5.3,1,11,Home,2025-08-23T16:30:00Z,5,0,90,0,0,1,0,0,0,0,12,3,0.02,0.02,0.04,0.17,8,1.4,6.4,6.9,1.0,False,a,,,,,2526
27,200641,2,11,Reiss Nelson,Nelson,3,0.1,4.8,5,1,Away,2025-08-23T16:30:00Z,0,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
28,588796,2,11,Ismeal Kabia,Kabia,3,0.1,4.5,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Shrewsbury Town on loan for the rest of the season.,,,,2526
29,437742,2,11,Albert Sambi Lokonga,Sambi,3,0.0,4.5,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,has joined Hamburger permanently.,,,,2526
30,219847,2,11,Kai Havertz,Havertz,4,0.6,7.3,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,d,Muscle injury - 75% chance of playing,,,,2526
31,205651,2,11,Gabriel Fernando de Jesus,G.Jesus,4,0.5,6.4,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
32,98980,2,13,Emiliano Martínez Romero,Martinez,1,4.8,5.1,2,5,Away,2025-08-23T14:00:00Z,0,1,90,0,0,0,1,0,0,0,15,2,0.0,0.01,0.01,1.21,0,1.3,12.8,0.0,0.0,False,a,,,,,2526
33,72147,2,13,Marco Bizot,M.Bizot,1,0.4,4.2,2,5,Away,2025-08-23T14:00:00Z,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
34,462492,2,13,Joe Gauci,Gauci,1,0.1,4.0,2,5,Away,2025-08-23T14:00:00Z,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,Has joined Port Vale on loan for the rest of the season.,,,,2526
35,462381,2,13,Filip Marschall,Marschall,1,0.0,4.0,2,5,Away,2025-08-23T14:00:00Z,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,u,Has joined Stevenage permanently.,,,,2526
36,199796,2,13,Matty Cash,Cash,2,11.1,4.9,2,5,Away,2025-08-23T14:00:00Z,0,1,90,0,0,0,1,0,0,0,18,2,0.0,0.23,0.23,1.21,6,5.0,20.4,25.4,4.0,False,a,,5.0,,,2526
37,101188,2,13,Lucas Digne,Digne,2,1.5,4.5,2,5,Away,2025-08-23T14:00:00Z,0,1,63,0,0,0,1,0,0,0,8,2,0.0,0.16,0.16,1.11,2,2.1,6.8,8.4,6.0,False,a,,,2.0,,2526
38,199798,2,13,Ezri Konsa Ngoyo,Konsa,2,8.2,4.4,2,5,Away,2025-08-23T14:00:00Z,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,a,,,,,2526
39,441302,2,13,Ian Maatsen,Maatsen,2,0.6,4.2,2,5,Away,2025-08-23T14:00:00Z,0,1,26,0,0,0,0,0,0,0,10,1,0.02,0.06,0.08,0.11,4,2.8,10.6,15.4,2.0,False,a,,,,,2526
